Runtime,Computationaltime,Backtracks
3.995902,3.991914,0.0
3.999841,3.996211,0.0
4.003792,4.00015,0.0
4.007709,4.004148,0.0
4.011656,4.008013,0.0
4.015525,4.011978,0.0
4.019431,4.015853,0.0
4.023759,4.019817,0.0
4.027829,4.024079,0.0
4.031708,4.02813,0.0
4.035599,4.032011,0.0
4.039655,4.035926,0.0
4.043696,4.039989,0.0
4.047592,4.044032,0.0
4.051384,4.047908,0.0
4.055331,4.051683,0.0
4.059347,4.055665,0.0
4.063227,4.059731,0.0
4.067096,4.063515,0.0
4.070865,4.067386,0.0
4.07499,4.071236,0.0
4.078818,4.075311,0.0
4.082655,4.079113,0.0
4.086456,4.082945,0.0
4.090379,4.086771,0.0
4.094328,4.090669,0.0
4.098366,4.094662,0.0
4.102373,4.098669,0.0
4.106165,4.102672,0.0
4.109912,4.106453,0.0
4.113892,4.110234,0.0
4.117706,4.114194,0.0
4.121642,4.118026,0.0
4.125551,4.121929,0.0
4.129395,4.125832,0.0
4.133464,4.12981,0.0
4.137426,4.133765,0.0
4.141331,4.137732,0.0
4.14527,4.141682,0.0
4.149297,4.145587,0.0
4.153283,4.149668,0.0
4.157292,4.153609,0.0
4.161329,4.157642,0.0
4.165495,4.161661,0.0
4.169345,4.165807,0.0
4.173437,4.169665,0.0
4.177385,4.173776,0.0
4.181252,4.177692,0.0
4.185201,4.181541,0.0
4.189139,4.185525,0.0
4.192948,4.18943,0.0
4.196879,4.193263,0.0
4.200683,4.197176,0.0
4.20455,4.200984,0.0
4.208461,4.204838,0.0
4.212484,4.208753,0.0
4.216391,4.212771,0.0
4.220257,4.21667,0.0
4.224238,4.220571,0.0
4.228134,4.224553,0.0
4.232043,4.228472,0.0
4.236073,4.232345,0.0
4.239948,4.236362,0.0
4.244091,4.240317,0.0
4.248098,4.244441,0.0
4.252069,4.2484,0.0
4.256055,4.25237,0.0
4.260053,4.256359,0.0
4.263887,4.260344,0.0
4.267677,4.264185,0.0
4.27144,4.267969,0.0
4.275489,4.271749,0.0
4.279352,4.275788,0.0
4.283189,4.279657,0.0
4.287102,4.283503,0.0
4.290998,4.287411,0.0
4.294906,4.291302,0.0
4.298696,4.295195,0.0
4.302693,4.298999,0.0
4.306666,4.303038,0.0
4.310527,4.306973,0.0
4.314308,4.310843,0.0
4.318291,4.31461,0.0
4.322185,4.318627,0.0
4.326163,4.322486,0.0
4.330058,4.326473,0.0
4.333939,4.33034,0.0
4.33777,4.334221,0.0
4.341809,4.338088,0.0
4.345767,4.342118,0.0
4.349581,4.346066,0.0
4.353455,4.349907,0.0
4.357463,4.353771,0.0
4.361327,4.357752,0.0
4.365229,4.361616,0.0
4.369096,4.365544,0.0
4.373114,4.369415,0.0
4.376975,4.373397,0.0
4.380883,4.377282,0.0
4.384812,4.381206,0.0
4.388706,4.385107,0.0
4.39347,4.389088,0.0
4.397388,4.393757,0.0
4.401554,4.397708,0.0
4.405679,4.401878,0.0
4.409515,4.405984,0.0
4.413636,4.409821,0.0
4.417467,4.413907,0.0
4.421633,4.417769,0.0
4.425504,4.421944,0.0
4.429537,4.425789,0.0
4.433562,4.42986,0.0
4.43733,4.433851,0.0
4.441291,4.437628,0.0
4.445234,4.441607,0.0
4.449413,4.445594,0.0
4.453301,4.449693,0.0
4.45741,4.453636,0.0
4.461723,4.457766,0.0
4.46574,4.462034,0.0
4.469848,4.466152,0.0
4.4738,4.470169,0.0
4.478004,4.474111,0.0
4.482212,4.478338,0.0
4.486245,4.482538,0.0
4.490401,4.486659,0.0
4.494417,4.490775,0.0
4.498612,4.494709,0.0
4.502687,4.49894,0.0
4.507483,4.503151,0.0
4.511596,4.507845,0.0
4.51549,4.511919,0.0
4.519558,4.515844,0.0
4.523494,4.51986,0.0
4.5275,4.523812,0.0
4.531587,4.527823,0.0
4.535565,4.531923,0.0
4.539537,4.535863,0.0
4.543557,4.539882,0.0
4.547489,4.543853,0.0
4.551424,4.547802,0.0
4.55554,4.551757,0.0
4.559389,4.555843,0.0
4.563377,4.559726,0.0
4.569654,4.564093,0.0
4.58285,4.571192,0.0
4.596317,4.584531,0.0
4.60544,4.597129,0.0
4.609717,4.60581,0.0
4.613836,4.610065,0.0
4.617849,4.614164,0.0
4.622289,4.618193,0.0
4.626154,4.622619,0.0
4.630146,4.626448,0.0
4.634219,4.6305,0.0
4.638111,4.634538,0.0
4.642043,4.638402,0.0
4.646087,4.64238,0.0
4.650067,4.646389,0.0
4.654076,4.650376,0.0
4.658134,4.654398,0.0
4.662089,4.658437,0.0
4.666181,4.662451,0.0
4.670111,4.666524,0.0
4.674016,4.670402,0.0
4.678053,4.674324,0.0
4.682127,4.678403,0.0
4.686015,4.682437,0.0
4.689974,4.68631,0.0
4.693891,4.690278,0.0
4.697876,4.694213,0.0
4.701732,4.6982,0.0
4.705789,4.702045,0.0
4.709782,4.706092,0.0
4.713699,4.710095,0.0
4.717638,4.713999,0.0
4.721541,4.717964,0.0
4.725433,4.721838,0.0
4.729342,4.725719,0.0
4.733431,4.729675,0.0
4.737388,4.733749,0.0
4.741265,4.737693,0.0
4.745224,4.741582,0.0
4.749102,4.74555,0.0
4.753102,4.749422,0.0
4.756993,4.753416,0.0
4.761018,4.757292,0.0
4.765108,4.761328,0.0
