Runtime,Computationaltime,Backtracks
20.618927,2.604877,681.0
27.478673,21.332924,167.0
33.836407,28.066612,97.0
43.550156,34.965538,218.0
47.245662,43.834816,51.0
55.517395,48.132625,221.0
58.69812,55.69421,13.0
61.509861,58.831676,2.0
65.881427,61.849239,61.0
69.531105,66.119098,26.0
72.915783,69.753497,18.0
75.63585,73.042389,1.0
79.242076,75.896332,46.0
91.21999,80.736142,319.0
98.823677,92.021791,132.0
101.751346,98.9775,3.0
104.478313,101.895154,6.0
107.702352,104.654033,9.0
110.330317,107.833514,1.0
113.125611,110.465467,6.0
116.768307,113.346155,15.0
119.812109,116.960884,7.0
122.651347,119.986963,5.0
125.388001,122.79754,2.0
129.021093,125.685055,53.0
134.544807,129.542251,128.0
137.005644,134.654417,1.0
140.715219,137.329392,87.0
143.434599,140.859072,8.0
146.840133,143.696056,56.0
152.381161,147.395204,110.0
158.014966,152.871646,92.0
160.847082,158.165267,7.0
163.319531,160.956799,0.0
165.953957,163.453842,2.0
169.644262,166.257779,57.0
172.40267,169.787404,7.0
175.25214,172.551546,14.0
178.255594,175.461551,26.0
182.361434,178.608571,65.0
185.169287,182.531222,9.0
189.498183,185.496383,32.0
192.786363,189.71793,19.0
196.056652,193.027941,35.0
199.917959,196.360749,67.0
204.294165,200.266788,74.0
206.837114,204.418609,5.0
213.139145,207.326574,85.0
216.388233,213.363341,35.0
219.740538,216.584394,20.0
223.453236,219.981892,30.0
226.352059,223.625773,20.0
229.881064,226.572503,25.0
233.209033,230.119831,42.0
236.258883,233.400751,25.0
246.927056,237.850799,607.0
249.599997,247.063235,7.0
252.545614,249.776428,18.0
257.028249,252.865023,44.0
260.506384,257.280202,45.0
263.785799,260.72524,28.0
267.451252,264.054012,37.0
270.266712,267.606862,12.0
273.170494,270.422274,16.0
275.955654,273.332803,20.0
279.001967,276.162141,36.0
282.021799,279.188555,23.0
285.366327,282.231129,28.0
288.506791,285.558935,18.0
291.179671,288.629487,6.0
294.42446,291.403445,41.0
297.948879,294.711579,63.0
300.567287,298.062163,0.0
304.344144,300.898904,88.0
306.838203,304.459243,1.0
309.775958,307.011674,19.0
313.030347,309.976815,24.0
315.951021,313.202587,18.0
318.701607,316.099811,10.0
321.148967,318.811064,1.0
323.920867,321.301558,11.0
326.404792,324.03589,3.0
329.21141,326.563427,15.0
332.473206,329.424372,28.0
335.140812,332.593957,3.0
338.23827,335.332772,21.0
341.346898,338.422798,18.0
344.068937,341.47747,5.0
346.788594,344.213895,10.0
349.629183,346.960866,21.0
352.304393,349.784705,24.0
202.77209910989012,199.2018200989011,51.78021978021978
