Runtime,Computationaltime,Backtracks
5.688648,5.680836,0.0
5.695851,5.689328,0.0
5.705398,5.696835,0.0
5.71239,5.706133,0.0
5.720413,5.713203,0.0
5.728617,5.721241,0.0
5.736807,5.729592,0.0
5.743773,5.737525,0.0
5.752173,5.74464,0.0
5.75947,5.752892,0.0
5.766902,5.76022,0.0
5.774519,5.767679,0.0
5.78175,5.775221,0.0
5.790193,5.782774,0.0
5.797162,5.79087,0.0
5.805734,5.798086,0.0
5.813016,5.806502,0.0
5.820468,5.813763,0.0
5.82768,5.821128,0.0
5.83497,5.828383,0.0
5.84237,5.83571,0.0
5.849435,5.843032,0.0
5.85696,5.85021,0.0
5.863886,5.85762,0.0
5.871927,5.864778,0.0
5.879295,5.872613,0.0
5.88816,5.880226,0.0
5.895354,5.8888,0.0
5.904444,5.896481,0.0
5.911672,5.905129,0.0
5.920285,5.912504,0.0
5.927542,5.921083,0.0
5.936293,5.928575,0.0
5.943766,5.936977,0.0
5.951408,5.9445,0.0
5.958973,5.95218,0.0
5.967107,5.959793,0.0
5.974875,5.967948,0.0
5.984398,5.975942,0.0
5.992443,5.985269,0.0
6.000302,5.993444,0.0
6.008294,6.001133,0.0
6.016696,6.009255,0.0
6.026686,6.017931,0.0
6.036859,6.027856,0.0
6.044707,6.037622,0.0
6.052854,6.045692,0.0
6.060266,6.053631,0.0
6.069079,6.061306,0.0
6.077054,6.069974,0.0
6.086401,6.078329,0.0
6.094867,6.087307,0.0
6.103497,6.095989,0.0
6.110547,6.104208,0.0
6.118694,6.11139,0.0
6.126086,6.119422,0.0
6.135786,6.127443,0.0
6.144263,6.13685,0.0
6.153509,6.145366,0.0
6.161233,6.154395,0.0
6.170334,6.162125,0.0
6.177862,6.171031,0.0
6.188912,6.178983,0.0
6.199469,6.189971,0.0
6.210248,6.200629,0.0
6.220619,6.211375,0.0
6.228299,6.221378,0.0
6.23636,6.229156,0.0
6.243099,6.236962,0.0
6.250715,6.243853,0.0
6.258184,6.251439,0.0
6.265602,6.258909,0.0
6.273757,6.266397,0.0
6.280845,6.274425,0.0
6.28908,6.281669,0.0
6.296094,6.289732,0.0
6.304201,6.296966,0.0
6.311428,6.304947,0.0
6.320332,6.312359,0.0
6.327485,6.32104,0.0
6.334909,6.328267,0.0
6.342014,6.335605,0.0
6.349771,6.342847,0.0
6.357387,6.350685,0.0
6.364844,6.358081,0.0
6.375114,6.366161,0.0
6.384078,6.376209,0.0
6.394189,6.385261,0.0
6.403114,6.39513,0.0
6.41054,6.4038,0.0
6.419179,6.411532,0.0
6.426688,6.419981,0.0
6.435128,6.42764,0.0
6.442434,6.435804,0.0
6.449992,6.443172,0.0
6.457817,6.450794,0.0
6.465636,6.458628,0.0
6.47514,6.466874,0.0
6.484448,6.476203,0.0
6.492699,6.48535,0.0
6.50078,6.493594,0.0
6.508615,6.501641,0.0
6.517447,6.50968,0.0
6.524876,6.518245,0.0
6.533149,6.525893,0.0
6.540669,6.533902,0.0
6.547816,6.541328,0.0
6.556473,6.548649,0.0
6.563825,6.557156,0.0
6.57148,6.564609,0.0
6.578585,6.572095,0.0
6.588328,6.579759,0.0
6.59678,6.589205,0.0
6.605522,6.597709,0.0
6.613028,6.606305,0.0
6.621242,6.613846,0.0
6.62925,6.622183,0.0
6.636981,6.630035,0.0
6.644852,6.637773,0.0
6.652712,6.645643,0.0
6.659549,6.653368,0.0
6.667835,6.660413,0.0
6.678304,6.668998,0.0
6.688866,6.679464,0.0
6.699585,6.689972,0.0
6.708516,6.700517,0.0
6.716447,6.709278,0.0
6.723943,6.71713,0.0
6.730957,6.724553,0.0
6.740907,6.731979,0.0
6.751474,6.741934,0.0
6.758641,6.752197,0.0
6.766771,6.759408,0.0
6.774282,6.76753,0.0
6.781271,6.77487,0.0
6.790314,6.782192,0.0
6.800261,6.791331,0.0
6.808031,6.80101,0.0
6.81534,6.80878,0.0
6.823529,6.81619,0.0
6.832155,6.824498,0.0
6.840641,6.833111,0.0
6.848798,6.8414,0.0
6.856855,6.849607,0.0
6.863712,6.857493,0.0
6.872495,6.864586,0.0
6.879613,6.873175,0.0
6.887986,6.880384,0.0
6.895142,6.888641,0.0
6.903489,6.895949,0.0
6.913237,6.90454,0.0
6.922363,6.91417,0.0
6.930157,6.923133,0.0
6.938563,6.931054,0.0
6.945988,6.939377,0.0
6.953792,6.946801,0.0
6.960774,6.954396,0.0
6.968604,6.961573,0.0
6.975924,6.969267,0.0
6.983505,6.976635,0.0
6.990945,6.984237,0.0
6.997953,6.991558,0.0
7.008455,6.999141,0.0
7.01831,7.009536,0.0
7.025253,7.018942,0.0
7.032698,7.025942,0.0
7.040207,7.03349,0.0
7.047015,7.040848,0.0
7.054891,7.04777,0.0
7.06174,7.055503,0.0
7.069105,7.062487,0.0
7.078073,7.070057,0.0
7.087117,7.079024,0.0
7.094954,7.087861,0.0
7.104316,7.096007,0.0
7.11159,7.104954,0.0
7.121681,7.112722,0.0
7.130343,7.122482,0.0
7.13866,7.13119,0.0
7.145782,7.139277,0.0
7.15343,7.146528,0.0
7.160285,7.154032,0.0
7.168145,7.161075,0.0
7.175039,7.168788,0.0
7.182464,7.175776,0.0
7.189875,7.183209,0.0
7.197189,7.190548,0.0
7.205035,7.197916,0.0
7.212087,7.205619,0.0
7.219696,7.212824,0.0
7.226634,7.220301,0.0
7.235109,7.227449,0.0
7.242447,7.23575,0.0
7.250021,7.243197,0.0
7.257737,7.250805,0.0
7.2664,7.258598,0.0
7.273589,7.267065,0.0
7.280296,7.274222,0.0
7.288441,7.281174,0.0
7.295429,7.289067,0.0
7.303297,7.296225,0.0
7.310272,7.30393,0.0
7.318079,7.311024,0.0
7.325182,7.318692,0.0
7.332843,7.325909,0.0
7.340427,7.33359,0.0
7.349439,7.341314,0.0
7.356964,7.350272,0.0
7.363914,7.357615,0.0
7.372263,7.364845,0.0
7.379632,7.372922,0.0
7.387749,7.380509,0.0
7.394906,7.388463,0.0
7.403012,7.395859,0.0
7.410064,7.403591,0.0
7.41922,7.411295,0.0
7.426127,7.419795,0.0
7.433968,7.426919,0.0
7.441055,7.434667,0.0
7.44917,7.44186,0.0
7.457023,7.450004,0.0
7.464448,7.457694,0.0
7.472458,7.465312,0.0
7.479608,7.473101,0.0
7.487976,7.480561,0.0
7.495368,7.488608,0.0
7.503404,7.496222,0.0
7.510427,7.504042,0.0
7.518438,7.511263,0.0
7.525317,7.519055,0.0
7.532871,7.526123,0.0
7.540111,7.533552,0.0
7.547195,7.540822,0.0
7.554959,7.547999,0.0
7.561964,7.555548,0.0
7.569862,7.562746,0.0
7.576989,7.570561,0.0
7.584766,7.577811,0.0
7.591982,7.585483,0.0
7.600082,7.592874,0.0
7.607672,7.600952,0.0
7.616386,7.6087,0.0
7.623833,7.617122,0.0
7.630899,7.62452,0.0
7.638647,7.63177,0.0
7.645743,7.639245,0.0
7.653719,7.646656,0.0
7.66082,7.654364,0.0
7.668688,7.661653,0.0
7.675862,7.669345,0.0
7.683043,7.676588,0.0
7.690596,7.683758,0.0
7.697754,7.691289,0.0
7.706428,7.698739,0.0
7.713626,7.7071,0.0
7.722463,7.714579,0.0
7.730026,7.723257,0.0
7.738531,7.730847,0.0
7.745797,7.739168,0.0
7.753545,7.746573,0.0
7.760961,7.754171,0.0
7.768923,7.761823,0.0
7.776081,7.769617,0.0
7.784044,7.776946,0.0
7.791136,7.784695,0.0
7.799486,7.791964,0.0
7.806655,7.800144,0.0
7.813964,7.807418,0.0
7.821486,7.814734,0.0
7.828492,7.822071,0.0
7.838111,7.829524,0.0
7.845814,7.838956,0.0
7.853354,7.846575,0.0
7.860251,7.854013,0.0
7.868243,7.861021,0.0
7.875265,7.868897,0.0
7.882775,7.875991,0.0
7.890539,7.88353,0.0
7.897864,7.891231,0.0
7.906003,7.898684,0.0
7.91347,7.906661,0.0
7.921438,7.914228,0.0
7.928536,7.922084,0.0
7.936146,7.929335,0.0
7.943632,7.936825,0.0
7.95144,7.944386,0.0
7.958614,7.952032,0.0
7.966009,7.959328,0.0
7.973693,7.966685,0.0
7.9807,7.974284,0.0
7.989631,7.981686,0.0
7.996568,7.990227,0.0
8.005579,7.997458,0.0
8.01263,8.006193,0.0
8.020858,8.013694,0.0
8.027812,8.021509,0.0
8.035854,8.028622,0.0
8.042955,8.036495,0.0
8.051061,8.043836,0.0
8.058223,8.051681,0.0
8.066449,8.059152,0.0
8.073905,8.067139,0.0
8.08119,8.074571,0.0
8.090678,8.082299,0.0
8.119019,8.091747,0.0
8.137242,8.120085,0.0
8.146996,8.138076,0.0
8.157342,8.148301,0.0
8.1674,8.158393,0.0
8.175562,8.168228,0.0
8.184214,8.176884,0.0
8.191498,8.184892,0.0
8.19905,8.192162,0.0
8.207274,8.199842,0.0
8.214703,8.207945,0.0
8.222945,8.215452,0.0
8.22993,8.223525,0.0
8.238662,8.230808,0.0
8.246008,8.239297,0.0
8.254246,8.246767,0.0
8.261107,8.254841,0.0
8.269074,8.261949,0.0
8.275913,8.269654,0.0
8.283102,8.27657,0.0
8.290115,8.283671,0.0
8.297336,8.290682,0.0
8.30481,8.297975,0.0
8.311736,8.305358,0.0
8.319121,8.312346,0.0
8.326219,8.319725,0.0
8.333332,8.326829,0.0
8.340373,8.333904,0.0
8.347439,8.340965,0.0
8.354746,8.348048,0.0
8.361873,8.355361,0.0
8.36912,8.362473,0.0
8.376245,8.369715,0.0
8.383697,8.376928,0.0
8.390609,8.384251,0.0
8.397769,8.391229,0.0
8.405688,8.398545,0.0
8.412953,8.406344,0.0
8.420473,8.413655,0.0
8.427451,8.421132,0.0
8.434991,8.428159,0.0
8.443035,8.435649,0.0
8.450319,8.443715,0.0
8.457761,8.450987,0.0
8.464999,8.458405,0.0
8.47288,8.465759,0.0
8.479782,8.473519,0.0
8.487649,8.480475,0.0
8.494772,8.488279,0.0
8.502618,8.49553,0.0
8.509513,8.503219,0.0
8.516728,8.510174,0.0
8.523698,8.517364,0.0
8.530634,8.524297,0.0
8.53848,8.531432,0.0
8.545513,8.539115,0.0
8.553004,8.546229,0.0
8.559908,8.55358,0.0
8.567408,8.560613,0.0
8.574292,8.568024,0.0
8.581572,8.575036,0.0
8.589411,8.582362,0.0
8.596699,8.590079,0.0
8.605074,8.597529,0.0
8.612351,8.605722,0.0
8.620085,8.613081,0.0
8.627051,8.620709,0.0
8.63469,8.627851,0.0
8.641835,8.635297,0.0
8.649101,8.642534,0.0
8.656451,8.649932,0.0
8.663276,8.657013,0.0
8.671129,8.663939,0.0
8.678235,8.671772,0.0
8.685556,8.678967,0.0
8.692445,8.686191,0.0
8.700729,8.693386,0.0
8.711575,8.701632,0.0
8.722751,8.71253,0.0
8.732655,8.723776,0.0
8.740017,8.73337,0.0
8.746849,8.740624,0.0
8.754918,8.747634,0.0
8.76209,8.755522,0.0
8.769565,8.762834,0.0
8.776626,8.770196,0.0
8.784291,8.777438,0.0
8.791618,8.785031,0.0
8.798932,8.792277,0.0
8.806154,8.799652,0.0
8.813443,8.806798,0.0
8.821054,8.814159,0.0
8.828343,8.821744,0.0
8.837384,8.829494,0.0
8.845654,8.838095,0.0
8.853135,8.84634,0.0
8.86031,8.853728,0.0
8.867654,8.860962,0.0
8.874627,8.868311,0.0
8.881665,8.87521,0.0
8.889185,8.882408,0.0
8.896081,8.889789,0.0
8.903444,8.896799,0.0
8.91034,8.904012,0.0
8.917516,8.911072,0.0
8.924419,8.918101,0.0
8.931386,8.925044,0.0
8.93924,8.932204,0.0
