Runtime,Computationaltime,Backtracks
4345.471163,387.546092,227564.0
5970.549694,4487.276585,85644.0
9573.550274,6288.051344,179065.0
11564.410636,9743.23998,101697.0
11713.542849,11577.401421,9021.0
13084.095213,11835.745317,84606.0
13131.445205,13088.190323,2945.0
13208.086918,13138.139013,5003.0
13265.350902,13212.903186,3009.0
13408.206666,13277.987694,10109.0
13422.713159,13409.381015,717.0
13545.756767,13433.60951,8725.0
13573.058762,13548.118389,1895.0
14064.318649,13615.713515,30050.0
14462.069432,14098.756606,23231.0
14499.415394,14465.238072,2452.0
14546.996042,14503.535072,3397.0
15519.183514,14629.320269,46771.0
15751.327459,15539.396635,12839.0
15782.320286,15753.991277,2144.0
19059.713423,16059.840567,157925.0
19067.4424,19060.303551,426.0
19219.406855,19080.626922,10023.0
19264.08328,19223.325469,3245.0
19283.378689,19265.659474,1105.0
19574.52317,19308.635672,17193.0
19591.219533,19575.886437,1153.0
19610.78959,19592.857383,1120.0
19696.061362,19618.109811,4694.0
19770.432486,19702.388765,4849.0
19907.719066,19782.374551,8347.0
22026.035112,20088.927683,108529.0
22062.817332,22029.120311,2062.0
22077.445716,22064.007335,793.0
22111.908633,22080.337798,1977.0
22157.596527,22115.9074,3128.0
22207.194153,22161.774789,2681.0
22480.949198,22230.445048,13981.0
22490.073595,22481.649936,435.0
22511.796881,22491.911782,1308.0
22542.908899,22514.379053,1909.0
23524.987968,22627.149307,50289.0
23558.43037,23527.826316,1998.0
23726.961727,23572.989349,9779.0
23769.22297,23730.541799,2584.0
24482.788946,23830.925264,39371.0
24530.938691,24486.925071,3077.0
24862.5796,24559.666818,20043.0
24883.842411,24864.350254,1372.0
25217.746299,24912.63234,19656.0
25539.161653,25245.519893,19517.0
25557.16465,25540.657848,1193.0
25878.781473,25584.914033,19033.0
26231.622899,25909.606787,21907.0
26247.791491,26232.932996,896.0
26362.550985,26257.829103,8493.0
26461.657437,26370.999784,5378.0
26475.7389,26462.795626,728.0
26677.606338,26492.711746,10767.0
27020.707765,26707.873045,21596.0
27066.75546,27024.578678,2630.0
27166.527257,27075.521689,6274.0
27199.460645,27169.345497,1912.0
27223.265747,27201.444913,1452.0
27282.712684,27228.415317,3862.0
27309.330986,27284.971073,1669.0
27317.233861,27309.92691,311.0
27398.241544,27324.327979,6169.0
27609.164135,27416.649379,12996.0
27624.58143,27610.463369,1196.0
27671.259538,27628.591244,2954.0
28145.741772,27711.39324,24314.0
28169.739255,28147.733326,1423.0
28216.609596,28173.808295,2989.0
28257.349481,28220.139106,2558.0
28299.348549,28260.960126,2755.0
28358.465077,28304.356175,3399.0
28404.810031,28362.412302,2789.0
28441.851171,28407.995225,2336.0
28472.232335,28444.414103,1943.0
28524.515333,28476.698785,3233.0
28541.532792,28525.936896,1130.0
28566.658447,28543.667518,1464.0
28608.990764,28570.240176,2632.0
28705.85838,28617.410749,6062.0
28730.033574,28707.890749,1394.0
28771.103826,28733.49935,2511.0
28861.653239,28778.78462,4700.0
28928.295401,28867.316329,3754.0
28935.269008,28928.81997,366.0
29103.227444,28950.154208,11478.0
22462.27984856044,22170.20577721978,17253.835164835164
6069.46322115118,6427.741459887903,37977.664754189675
