Runtime;Computationaltime;Backtracks;;;;Mean
3.995.902;3.991.914;0;;;;6.006.999
3.999.841;3.996.211;0;;;;
4.003.792;4.000.150;0;;;;
4.007.709;4.004.148;0;;;;
4.011.656;4.008.013;0;;;;
4.015.525;4.011.978;0;;;;
4.019.431;4.015.853;0;;;;
4.023.759;4.019.817;0;;;;
4.027.829;4.024.079;0;;;;
4.031.708;4.028.130;0;;;;
4.035.599;4.032.011;0;;;;
4.039.655;4.035.926;0;;;;
4.043.696;4.039.989;0;;;;
4.047.592;4.044.032;0;;;;
4.051.384;4.047.908;0;;;;
4.055.331;4.051.683;0;;;;
4.059.347;4.055.665;0;;;;
4.063.227;4.059.731;0;;;;
4.067.096;4.063.515;0;;;;
4.070.865;4.067.386;0;;;;
4.074.990;4.071.236;0;;;;
4.078.818;4.075.311;0;;;;
4.082.655;4.079.113;0;;;;
4.086.456;4.082.945;0;;;;
4.090.379;4.086.771;0;;;;
4.094.328;4.090.669;0;;;;
4.098.366;4.094.662;0;;;;
4.102.373;4.098.669;0;;;;
4.106.165;4.102.672;0;;;;
4.109.912;4.106.453;0;;;;
4.113.892;4.110.234;0;;;;
4.117.706;4.114.194;0;;;;
4.121.642;4.118.026;0;;;;
4.125.551;4.121.929;0;;;;
4.129.395;4.125.832;0;;;;
4.133.464;4.129.810;0;;;;
4.137.426;4.133.765;0;;;;
4.141.331;4.137.732;0;;;;
4.145.270;4.141.682;0;;;;
4.149.297;4.145.587;0;;;;
4.153.283;4.149.668;0;;;;
4.157.292;4.153.609;0;;;;
4.161.329;4.157.642;0;;;;
4.165.495;4.161.661;0;;;;
4.169.345;4.165.807;0;;;;
4.173.437;4.169.665;0;;;;
4.177.385;4.173.776;0;;;;
4.181.252;4.177.692;0;;;;
4.185.201;4.181.541;0;;;;
4.189.139;4.185.525;0;;;;
4.192.948;4.189.430;0;;;;
4.196.879;4.193.263;0;;;;
4.200.683;4.197.176;0;;;;
4.204.550;4.200.984;0;;;;
4.208.461;4.204.838;0;;;;
4.212.484;4.208.753;0;;;;
4.216.391;4.212.771;0;;;;
4.220.257;4.216.670;0;;;;
4.224.238;4.220.571;0;;;;
4.228.134;4.224.553;0;;;;
4.232.043;4.228.472;0;;;;
4.236.073;4.232.345;0;;;;
4.239.948;4.236.362;0;;;;
4.244.091;4.240.317;0;;;;
4.248.098;4.244.441;0;;;;
4.252.069;4.248.400;0;;;;
4.256.055;4.252.370;0;;;;
4.260.053;4.256.359;0;;;;
4.263.887;4.260.344;0;;;;
4.267.677;4.264.185;0;;;;
4.271.440;4.267.969;0;;;;
4.275.489;4.271.749;0;;;;
4.279.352;4.275.788;0;;;;
4.283.189;4.279.657;0;;;;
4.287.102;4.283.503;0;;;;
4.290.998;4.287.411;0;;;;
4.294.906;4.291.302;0;;;;
4.298.696;4.295.195;0;;;;
4.302.693;4.298.999;0;;;;
4.306.666;4.303.038;0;;;;
4.310.527;4.306.973;0;;;;
4.314.308;4.310.843;0;;;;
4.318.291;4.314.610;0;;;;
4.322.185;4.318.627;0;;;;
4.326.163;4.322.486;0;;;;
4.330.058;4.326.473;0;;;;
4.333.939;4.330.340;0;;;;
4.337.770;4.334.221;0;;;;
4.341.809;4.338.088;0;;;;
4.345.767;4.342.118;0;;;;
4.349.581;4.346.066;0;;;;
4.353.455;4.349.907;0;;;;
4.357.463;4.353.771;0;;;;
4.361.327;4.357.752;0;;;;
4.365.229;4.361.616;0;;;;
4.369.096;4.365.544;0;;;;
4.373.114;4.369.415;0;;;;
4.376.975;4.373.397;0;;;;
4.380.883;4.377.282;0;;;;
4.384.812;4.381.206;0;;;;
4.388.706;4.385.107;0;;;;
4.393.470;4.389.088;0;;;;
4.397.388;4.393.757;0;;;;
4.401.554;4.397.708;0;;;;
4.405.679;4.401.878;0;;;;
4.409.515;4.405.984;0;;;;
4.413.636;4.409.821;0;;;;
4.417.467;4.413.907;0;;;;
4.421.633;4.417.769;0;;;;
4.425.504;4.421.944;0;;;;
4.429.537;4.425.789;0;;;;
4.433.562;4.429.860;0;;;;
4.437.330;4.433.851;0;;;;
4.441.291;4.437.628;0;;;;
4.445.234;4.441.607;0;;;;
4.449.413;4.445.594;0;;;;
4.453.301;4.449.693;0;;;;
4.457.410;4.453.636;0;;;;
4.461.723;4.457.766;0;;;;
4.465.740;4.462.034;0;;;;
4.469.848;4.466.152;0;;;;
4.473.800;4.470.169;0;;;;
4.478.004;4.474.111;0;;;;
4.482.212;4.478.338;0;;;;
4.486.245;4.482.538;0;;;;
4.490.401;4.486.659;0;;;;
4.494.417;4.490.775;0;;;;
4.498.612;4.494.709;0;;;;
4.502.687;4.498.940;0;;;;
4.507.483;4.503.151;0;;;;
4.511.596;4.507.845;0;;;;
4.515.490;4.511.919;0;;;;
4.519.558;4.515.844;0;;;;
4.523.494;4.519.860;0;;;;
4.527.500;4.523.812;0;;;;
4.531.587;4.527.823;0;;;;
4.535.565;4.531.923;0;;;;
4.539.537;4.535.863;0;;;;
4.543.557;4.539.882;0;;;;
4.547.489;4.543.853;0;;;;
4.551.424;4.547.802;0;;;;
4.555.540;4.551.757;0;;;;
4.559.389;4.555.843;0;;;;
4.563.377;4.559.726;0;;;;
4.569.654;4.564.093;0;;;;
4.582.850;4.571.192;0;;;;
4.596.317;4.584.531;0;;;;
4.605.440;4.597.129;0;;;;
4.609.717;4.605.810;0;;;;
4.613.836;4.610.065;0;;;;
4.617.849;4.614.164;0;;;;
4.622.289;4.618.193;0;;;;
4.626.154;4.622.619;0;;;;
4.630.146;4.626.448;0;;;;
4.634.219;4.630.500;0;;;;
4.638.111;4.634.538;0;;;;
4.642.043;4.638.402;0;;;;
4.646.087;4.642.380;0;;;;
4.650.067;4.646.389;0;;;;
4.654.076;4.650.376;0;;;;
4.658.134;4.654.398;0;;;;
4.662.089;4.658.437;0;;;;
4.666.181;4.662.451;0;;;;
4.670.111;4.666.524;0;;;;
4.674.016;4.670.402;0;;;;
4.678.053;4.674.324;0;;;;
4.682.127;4.678.403;0;;;;
4.686.015;4.682.437;0;;;;
4.689.974;4.686.310;0;;;;
4.693.891;4.690.278;0;;;;
4.697.876;4.694.213;0;;;;
4.701.732;4.698.200;0;;;;
4.705.789;4.702.045;0;;;;
4.709.782;4.706.092;0;;;;
4.713.699;4.710.095;0;;;;
4.717.638;4.713.999;0;;;;
4.721.541;4.717.964;0;;;;
4.725.433;4.721.838;0;;;;
4.729.342;4.725.719;0;;;;
4.733.431;4.729.675;0;;;;
4.737.388;4.733.749;0;;;;
4.741.265;4.737.693;0;;;;
4.745.224;4.741.582;0;;;;
4.749.102;4.745.550;0;;;;
4.753.102;4.749.422;0;;;;
4.756.993;4.753.416;0;;;;
4.761.018;4.757.292;0;;;;
4.765.108;4.761.328;0;;;;
4.769.056;4.765.408;0;;;;
4.772.966;4.769.349;0;;;;
4.776.892;4.773.271;0;;;;
4.780.835;4.777.227;0;;;;
