Runtime,Computationaltime,Backtracks
0 days 00:00:05.688648,0 days 00:00:05.680836,0
0 days 00:00:05.695851,0 days 00:00:05.689328,0
0 days 00:00:05.705398,0 days 00:00:05.696835,0
0 days 00:00:05.712390,0 days 00:00:05.706133,0
0 days 00:00:05.720413,0 days 00:00:05.713203,0
0 days 00:00:05.728617,0 days 00:00:05.721241,0
0 days 00:00:05.736807,0 days 00:00:05.729592,0
0 days 00:00:05.743773,0 days 00:00:05.737525,0
0 days 00:00:05.752173,0 days 00:00:05.744640,0
0 days 00:00:05.759470,0 days 00:00:05.752892,0
0 days 00:00:05.766902,0 days 00:00:05.760220,0
0 days 00:00:05.774519,0 days 00:00:05.767679,0
0 days 00:00:05.781750,0 days 00:00:05.775221,0
0 days 00:00:05.790193,0 days 00:00:05.782774,0
0 days 00:00:05.797162,0 days 00:00:05.790870,0
0 days 00:00:05.805734,0 days 00:00:05.798086,0
0 days 00:00:05.813016,0 days 00:00:05.806502,0
0 days 00:00:05.820468,0 days 00:00:05.813763,0
0 days 00:00:05.827680,0 days 00:00:05.821128,0
0 days 00:00:05.834970,0 days 00:00:05.828383,0
0 days 00:00:05.842370,0 days 00:00:05.835710,0
0 days 00:00:05.849435,0 days 00:00:05.843032,0
0 days 00:00:05.856960,0 days 00:00:05.850210,0
0 days 00:00:05.863886,0 days 00:00:05.857620,0
0 days 00:00:05.871927,0 days 00:00:05.864778,0
0 days 00:00:05.879295,0 days 00:00:05.872613,0
0 days 00:00:05.888160,0 days 00:00:05.880226,0
0 days 00:00:05.895354,0 days 00:00:05.888800,0
0 days 00:00:05.904444,0 days 00:00:05.896481,0
0 days 00:00:05.911672,0 days 00:00:05.905129,0
0 days 00:00:05.920285,0 days 00:00:05.912504,0
0 days 00:00:05.927542,0 days 00:00:05.921083,0
0 days 00:00:05.936293,0 days 00:00:05.928575,0
0 days 00:00:05.943766,0 days 00:00:05.936977,0
0 days 00:00:05.951408,0 days 00:00:05.944500,0
0 days 00:00:05.958973,0 days 00:00:05.952180,0
0 days 00:00:05.967107,0 days 00:00:05.959793,0
0 days 00:00:05.974875,0 days 00:00:05.967948,0
0 days 00:00:05.984398,0 days 00:00:05.975942,0
0 days 00:00:05.992443,0 days 00:00:05.985269,0
0 days 00:00:06.000302,0 days 00:00:05.993444,0
0 days 00:00:06.008294,0 days 00:00:06.001133,0
0 days 00:00:06.016696,0 days 00:00:06.009255,0
0 days 00:00:06.026686,0 days 00:00:06.017931,0
0 days 00:00:06.036859,0 days 00:00:06.027856,0
0 days 00:00:06.044707,0 days 00:00:06.037622,0
0 days 00:00:06.052854,0 days 00:00:06.045692,0
0 days 00:00:06.060266,0 days 00:00:06.053631,0
0 days 00:00:06.069079,0 days 00:00:06.061306,0
0 days 00:00:06.077054,0 days 00:00:06.069974,0
0 days 00:00:06.086401,0 days 00:00:06.078329,0
0 days 00:00:06.094867,0 days 00:00:06.087307,0
0 days 00:00:06.103497,0 days 00:00:06.095989,0
0 days 00:00:06.110547,0 days 00:00:06.104208,0
