Runtime,Computationaltime,Backtracks
0 days 00:00:03.995902,0 days 00:00:03.991914,0
0 days 00:00:03.999841,0 days 00:00:03.996211,0
0 days 00:00:04.003792,0 days 00:00:04.000150,0
0 days 00:00:04.007709,0 days 00:00:04.004148,0
0 days 00:00:04.011656,0 days 00:00:04.008013,0
0 days 00:00:04.015525,0 days 00:00:04.011978,0
0 days 00:00:04.019431,0 days 00:00:04.015853,0
0 days 00:00:04.023759,0 days 00:00:04.019817,0
0 days 00:00:04.027829,0 days 00:00:04.024079,0
0 days 00:00:04.031708,0 days 00:00:04.028130,0
0 days 00:00:04.035599,0 days 00:00:04.032011,0
0 days 00:00:04.039655,0 days 00:00:04.035926,0
0 days 00:00:04.043696,0 days 00:00:04.039989,0
0 days 00:00:04.047592,0 days 00:00:04.044032,0
0 days 00:00:04.051384,0 days 00:00:04.047908,0
0 days 00:00:04.055331,0 days 00:00:04.051683,0
0 days 00:00:04.059347,0 days 00:00:04.055665,0
0 days 00:00:04.063227,0 days 00:00:04.059731,0
0 days 00:00:04.067096,0 days 00:00:04.063515,0
0 days 00:00:04.070865,0 days 00:00:04.067386,0
0 days 00:00:04.074990,0 days 00:00:04.071236,0
0 days 00:00:04.078818,0 days 00:00:04.075311,0
0 days 00:00:04.082655,0 days 00:00:04.079113,0
0 days 00:00:04.086456,0 days 00:00:04.082945,0
0 days 00:00:04.090379,0 days 00:00:04.086771,0
0 days 00:00:04.094328,0 days 00:00:04.090669,0
0 days 00:00:04.098366,0 days 00:00:04.094662,0
0 days 00:00:04.102373,0 days 00:00:04.098669,0
0 days 00:00:04.106165,0 days 00:00:04.102672,0
0 days 00:00:04.109912,0 days 00:00:04.106453,0
0 days 00:00:04.113892,0 days 00:00:04.110234,0
0 days 00:00:04.117706,0 days 00:00:04.114194,0
0 days 00:00:04.121642,0 days 00:00:04.118026,0
0 days 00:00:04.125551,0 days 00:00:04.121929,0
0 days 00:00:04.129395,0 days 00:00:04.125832,0
0 days 00:00:04.133464,0 days 00:00:04.129810,0
0 days 00:00:04.137426,0 days 00:00:04.133765,0
0 days 00:00:04.141331,0 days 00:00:04.137732,0
0 days 00:00:04.145270,0 days 00:00:04.141682,0
0 days 00:00:04.149297,0 days 00:00:04.145587,0
0 days 00:00:04.153283,0 days 00:00:04.149668,0
0 days 00:00:04.157292,0 days 00:00:04.153609,0
0 days 00:00:04.161329,0 days 00:00:04.157642,0
0 days 00:00:04.165495,0 days 00:00:04.161661,0
0 days 00:00:04.169345,0 days 00:00:04.165807,0
0 days 00:00:04.173437,0 days 00:00:04.169665,0
0 days 00:00:04.177385,0 days 00:00:04.173776,0
0 days 00:00:04.181252,0 days 00:00:04.177692,0
0 days 00:00:04.185201,0 days 00:00:04.181541,0
0 days 00:00:04.189139,0 days 00:00:04.185525,0
0 days 00:00:04.192948,0 days 00:00:04.189430,0
0 days 00:00:04.196879,0 days 00:00:04.193263,0
0 days 00:00:04.200683,0 days 00:00:04.197176,0
0 days 00:00:04.204550,0 days 00:00:04.200984,0
0 days 00:00:04.208461,0 days 00:00:04.204838,0
0 days 00:00:04.212484,0 days 00:00:04.208753,0
0 days 00:00:04.216391,0 days 00:00:04.212771,0
0 days 00:00:04.220257,0 days 00:00:04.216670,0
0 days 00:00:04.224238,0 days 00:00:04.220571,0
0 days 00:00:04.228134,0 days 00:00:04.224553,0
0 days 00:00:04.232043,0 days 00:00:04.228472,0
0 days 00:00:04.236073,0 days 00:00:04.232345,0
0 days 00:00:04.239948,0 days 00:00:04.236362,0
0 days 00:00:04.244091,0 days 00:00:04.240317,0
0 days 00:00:04.248098,0 days 00:00:04.244441,0
0 days 00:00:04.252069,0 days 00:00:04.248400,0
0 days 00:00:04.256055,0 days 00:00:04.252370,0
0 days 00:00:04.260053,0 days 00:00:04.256359,0
0 days 00:00:04.263887,0 days 00:00:04.260344,0
0 days 00:00:04.267677,0 days 00:00:04.264185,0
0 days 00:00:04.271440,0 days 00:00:04.267969,0
0 days 00:00:04.275489,0 days 00:00:04.271749,0
0 days 00:00:04.279352,0 days 00:00:04.275788,0
0 days 00:00:04.283189,0 days 00:00:04.279657,0
0 days 00:00:04.287102,0 days 00:00:04.283503,0
0 days 00:00:04.290998,0 days 00:00:04.287411,0
0 days 00:00:04.294906,0 days 00:00:04.291302,0
0 days 00:00:04.298696,0 days 00:00:04.295195,0
0 days 00:00:04.302693,0 days 00:00:04.298999,0
0 days 00:00:04.306666,0 days 00:00:04.303038,0
