Runtime,Computationaltime,Backtracks
0 days 01:12:25.471163,0 days 00:06:27.546092,227564
0 days 01:39:30.549694,0 days 01:14:47.276585,85644
0 days 02:39:33.550274,0 days 01:44:48.051344,179065
0 days 03:12:44.410636,0 days 02:42:23.239980,101697
0 days 03:15:13.542849,0 days 03:12:57.401421,9021
0 days 03:38:04.095213,0 days 03:17:15.745317,84606
0 days 03:38:51.445205,0 days 03:38:08.190323,2945
0 days 03:40:08.086918,0 days 03:38:58.139013,5003
0 days 03:41:05.350902,0 days 03:40:12.903186,3009
0 days 03:43:28.206666,0 days 03:41:17.987694,10109
0 days 03:43:42.713159,0 days 03:43:29.381015,717
0 days 03:45:45.756767,0 days 03:43:53.609510,8725
0 days 03:46:13.058762,0 days 03:45:48.118389,1895
0 days 03:54:24.318649,0 days 03:46:55.713515,30050
0 days 04:01:02.069432,0 days 03:54:58.756606,23231
0 days 04:01:39.415394,0 days 04:01:05.238072,2452
0 days 04:02:26.996042,0 days 04:01:43.535072,3397
0 days 04:18:39.183514,0 days 04:03:49.320269,46771
0 days 04:22:31.327459,0 days 04:18:59.396635,12839
0 days 04:23:02.320286,0 days 04:22:33.991277,2144
0 days 05:17:39.713423,0 days 04:27:39.840567,157925
0 days 05:17:47.442400,0 days 05:17:40.303551,426
0 days 05:20:19.406855,0 days 05:18:00.626922,10023
0 days 05:21:04.083280,0 days 05:20:23.325469,3245
0 days 05:21:23.378689,0 days 05:21:05.659474,1105
0 days 05:26:14.523170,0 days 05:21:48.635672,17193
0 days 05:26:31.219533,0 days 05:26:15.886437,1153
0 days 05:26:50.789590,0 days 05:26:32.857383,1120
0 days 05:28:16.061362,0 days 05:26:58.109811,4694
0 days 05:29:30.432486,0 days 05:28:22.388765,4849
0 days 05:31:47.719066,0 days 05:29:42.374551,8347
0 days 06:07:06.035112,0 days 05:34:48.927683,108529
0 days 06:07:42.817332,0 days 06:07:09.120311,2062
0 days 06:07:57.445716,0 days 06:07:44.007335,793
0 days 06:08:31.908633,0 days 06:08:00.337798,1977
0 days 06:09:17.596527,0 days 06:08:35.907400,3128
0 days 06:10:07.194153,0 days 06:09:21.774789,2681
0 days 06:14:40.949198,0 days 06:10:30.445048,13981
0 days 06:14:50.073595,0 days 06:14:41.649936,435
0 days 06:15:11.796881,0 days 06:14:51.911782,1308
0 days 06:15:42.908899,0 days 06:15:14.379053,1909
0 days 06:32:04.987968,0 days 06:17:07.149307,50289
0 days 06:32:38.430370,0 days 06:32:07.826316,1998
0 days 06:35:26.961727,0 days 06:32:52.989349,9779
0 days 06:36:09.222970,0 days 06:35:30.541799,2584
0 days 06:48:02.788946,0 days 06:37:10.925264,39371
0 days 06:48:50.938691,0 days 06:48:06.925071,3077
0 days 06:54:22.579600,0 days 06:49:19.666818,20043
0 days 06:54:43.842411,0 days 06:54:24.350254,1372
0 days 07:00:17.746299,0 days 06:55:12.632340,19656
0 days 07:05:39.161653,0 days 07:00:45.519893,19517
0 days 07:05:57.164650,0 days 07:05:40.657848,1193
0 days 07:11:18.781473,0 days 07:06:24.914033,19033
0 days 07:17:11.622899,0 days 07:11:49.606787,21907
0 days 07:17:27.791491,0 days 07:17:12.932996,896
0 days 07:19:22.550985,0 days 07:17:37.829103,8493
0 days 07:21:01.657437,0 days 07:19:30.999784,5378
0 days 07:21:15.738900,0 days 07:21:02.795626,728
0 days 07:24:37.606338,0 days 07:21:32.711746,10767
0 days 07:30:20.707765,0 days 07:25:07.873045,21596
0 days 07:31:06.755460,0 days 07:30:24.578678,2630
0 days 07:32:46.527257,0 days 07:31:15.521689,6274
0 days 07:33:19.460645,0 days 07:32:49.345497,1912
0 days 07:33:43.265747,0 days 07:33:21.444913,1452
0 days 07:34:42.712684,0 days 07:33:48.415317,3862
0 days 07:35:09.330986,0 days 07:34:44.971073,1669
0 days 07:35:17.233861,0 days 07:35:09.926910,311
0 days 07:36:38.241544,0 days 07:35:24.327979,6169
0 days 07:40:09.164135,0 days 07:36:56.649379,12996
0 days 07:40:24.581430,0 days 07:40:10.463369,1196
0 days 07:41:11.259538,0 days 07:40:28.591244,2954
0 days 07:49:05.741772,0 days 07:41:51.393240,24314
0 days 07:49:29.739255,0 days 07:49:07.733326,1423
0 days 07:50:16.609596,0 days 07:49:33.808295,2989
0 days 07:50:57.349481,0 days 07:50:20.139106,2558
0 days 07:51:39.348549,0 days 07:51:00.960126,2755
0 days 07:52:38.465077,0 days 07:51:44.356175,3399
0 days 07:53:24.810031,0 days 07:52:42.412302,2789
0 days 07:54:01.851171,0 days 07:53:27.995225,2336
0 days 07:54:32.232335,0 days 07:54:04.414103,1943
0 days 07:55:24.515333,0 days 07:54:36.698785,3233
0 days 07:55:41.532792,0 days 07:55:25.936896,1130
0 days 07:56:06.658447,0 days 07:55:43.667518,1464
0 days 07:56:48.990764,0 days 07:56:10.240176,2632
0 days 07:58:25.858380,0 days 07:56:57.410749,6062
0 days 07:58:50.033574,0 days 07:58:27.890749,1394
0 days 07:59:31.103826,0 days 07:58:53.499350,2511
0 days 08:01:01.653239,0 days 07:59:38.784620,4700
0 days 08:02:08.295401,0 days 08:01:07.316329,3754
0 days 08:02:15.269008,0 days 08:02:08.819970,366
0 days 08:05:03.227444,0 days 08:02:30.154208,11478
