Runtime,Computationaltime,Backtracks
0 days 00:00:09.176529,0 days 00:00:04.463727,71
0 days 00:00:11.871813,0 days 00:00:09.329279,9
0 days 00:00:15.545164,0 days 00:00:12.080594,32
0 days 00:00:18.092447,0 days 00:00:15.658182,5
0 days 00:00:24.079426,0 days 00:00:18.490610,147
0 days 00:00:26.645658,0 days 00:00:24.193463,2
0 days 00:00:28.972321,0 days 00:00:26.742448,0
0 days 00:00:32.401733,0 days 00:00:29.148377,30
0 days 00:00:34.846162,0 days 00:00:32.501065,2
0 days 00:00:37.267610,0 days 00:00:34.945237,0
0 days 00:00:39.715920,0 days 00:00:37.368782,1
0 days 00:00:42.026249,0 days 00:00:39.812532,0
0 days 00:00:46.091075,0 days 00:00:42.261806,101
0 days 00:00:51.113439,0 days 00:00:46.404039,92
0 days 00:00:54.577468,0 days 00:00:51.297467,33
0 days 00:00:56.978865,0 days 00:00:54.681542,4
0 days 00:00:59.547933,0 days 00:00:57.094947,1
0 days 00:01:04.319138,0 days 00:00:59.835707,71
0 days 00:01:06.732228,0 days 00:01:04.417957,0
0 days 00:01:09.416497,0 days 00:01:06.850706,11
0 days 00:01:21.588173,0 days 00:01:10.252438,161
0 days 00:01:24.187472,0 days 00:01:21.703015,3
0 days 00:01:27.499475,0 days 00:01:24.362539,29
0 days 00:01:32.304663,0 days 00:01:27.813566,235
0 days 00:01:36.070610,0 days 00:01:32.522950,45
0 days 00:01:41.768910,0 days 00:01:36.497918,97
0 days 00:01:44.234326,0 days 00:01:41.868692,0
0 days 00:01:46.813773,0 days 00:01:44.343388,5
0 days 00:01:49.335114,0 days 00:01:46.919238,0
0 days 00:01:51.849072,0 days 00:01:49.445082,3
0 days 00:01:54.250516,0 days 00:01:51.960420,6
0 days 00:02:06.028343,0 days 00:01:55.074583,247
0 days 00:02:08.526899,0 days 00:02:06.126956,0
0 days 00:02:11.056986,0 days 00:02:08.633211,3
0 days 00:02:13.956371,0 days 00:02:11.198027,12
0 days 00:02:16.559530,0 days 00:02:14.075392,2
0 days 00:02:20.314793,0 days 00:02:16.775374,33
0 days 00:02:23.660759,0 days 00:02:20.487859,26
0 days 00:02:26.164009,0 days 00:02:23.770348,0
0 days 00:02:29.651613,0 days 00:02:26.370673,62
0 days 00:02:32.692999,0 days 00:02:29.805223,20
0 days 00:02:38.032971,0 days 00:02:33.017405,69
0 days 00:02:40.482037,0 days 00:02:38.134195,0
0 days 00:02:44.224502,0 days 00:02:40.706387,65
0 days 00:02:47.056646,0 days 00:02:44.362988,16
0 days 00:02:51.363469,0 days 00:02:47.302555,42
0 days 00:02:53.850721,0 days 00:02:51.467087,1
0 days 00:02:56.497717,0 days 00:02:53.974893,7
0 days 00:02:59.692125,0 days 00:02:56.659454,24
0 days 00:03:02.205080,0 days 00:02:59.813765,5
0 days 00:03:05.029155,0 days 00:03:02.333742,11
0 days 00:03:07.577160,0 days 00:03:05.135752,6
0 days 00:03:10.281879,0 days 00:03:07.705087,9
0 days 00:03:13.203933,0 days 00:03:10.427018,23
0 days 00:03:16.426794,0 days 00:03:13.379004,22
0 days 00:03:19.038547,0 days 00:03:16.549784,3
0 days 00:03:21.548187,0 days 00:03:19.142317,0
0 days 00:03:25.747794,0 days 00:03:21.799117,99
0 days 00:03:28.515904,0 days 00:03:25.875070,13
0 days 00:03:31.712612,0 days 00:03:28.683867,35
0 days 00:03:35.642600,0 days 00:03:31.927897,37
0 days 00:03:38.164552,0 days 00:03:35.749109,5
0 days 00:03:40.844218,0 days 00:03:38.274144,3
0 days 00:03:43.578315,0 days 00:03:40.967418,7
0 days 00:03:46.101271,0 days 00:03:43.682362,5
0 days 00:03:48.707590,0 days 00:03:46.214445,5
0 days 00:03:51.311793,0 days 00:03:48.819306,9
0 days 00:03:54.006051,0 days 00:03:51.432807,7
0 days 00:03:56.861889,0 days 00:03:54.141074,11
0 days 00:03:59.353349,0 days 00:03:56.957972,0
0 days 00:04:01.783055,0 days 00:03:59.455294,0
0 days 00:04:07.120859,0 days 00:04:02.112703,56
0 days 00:04:09.562787,0 days 00:04:07.217112,0
0 days 00:04:13.973566,0 days 00:04:09.846142,136
0 days 00:04:16.428577,0 days 00:04:14.073417,0
0 days 00:04:19.059690,0 days 00:04:16.544691,8
0 days 00:04:21.510140,0 days 00:04:19.163086,2
0 days 00:04:23.829006,0 days 00:04:21.608055,0
0 days 00:04:26.273488,0 days 00:04:23.929428,0
0 days 00:04:29.115788,0 days 00:04:26.408706,17
0 days 00:04:32.329799,0 days 00:04:29.276835,28
0 days 00:04:35.092623,0 days 00:04:32.459555,13
0 days 00:04:38.138312,0 days 00:04:35.248888,36
0 days 00:04:40.579362,0 days 00:04:38.237161,0
0 days 00:04:43.122277,0 days 00:04:40.687050,4
0 days 00:04:45.562024,0 days 00:04:43.220421,0
0 days 00:04:48.396984,0 days 00:04:45.694973,10
0 days 00:04:50.835316,0 days 00:04:48.497598,0
0 days 00:04:53.348456,0 days 00:04:50.940772,4
0 days 00:04:56.951549,0 days 00:04:53.561461,98
0 days 00:04:59.659851,0 days 00:04:57.084347,5
