Runtime,Computationaltime,Backtracks
0 days 00:00:00.004988,0 days 00:00:00.000771,0
0 days 00:00:00.009747,0 days 00:00:00.005834,0
0 days 00:00:00.014559,0 days 00:00:00.010587,0
0 days 00:00:00.019178,0 days 00:00:00.015361,0
0 days 00:00:00.024003,0 days 00:00:00.019995,0
0 days 00:00:00.028626,0 days 00:00:00.024798,0
0 days 00:00:00.033383,0 days 00:00:00.029503,0
0 days 00:00:00.037936,0 days 00:00:00.034161,0
0 days 00:00:00.042824,0 days 00:00:00.038810,0
0 days 00:00:00.047565,0 days 00:00:00.043645,0
0 days 00:00:00.052320,0 days 00:00:00.048375,0
0 days 00:00:00.057064,0 days 00:00:00.053138,0
0 days 00:00:00.061975,0 days 00:00:00.057978,0
0 days 00:00:00.066523,0 days 00:00:00.062724,0
0 days 00:00:00.071180,0 days 00:00:00.067318,0
0 days 00:00:00.075803,0 days 00:00:00.071892,0
0 days 00:00:00.080545,0 days 00:00:00.076608,0
0 days 00:00:00.085197,0 days 00:00:00.081342,0
0 days 00:00:00.089920,0 days 00:00:00.085997,0
0 days 00:00:00.094566,0 days 00:00:00.090744,0
0 days 00:00:00.099430,0 days 00:00:00.095410,0
0 days 00:00:00.103986,0 days 00:00:00.100193,0
0 days 00:00:00.108504,0 days 00:00:00.104728,0
0 days 00:00:00.113321,0 days 00:00:00.109369,0
0 days 00:00:00.117835,0 days 00:00:00.114073,0
0 days 00:00:00.122477,0 days 00:00:00.118557,0
0 days 00:00:00.127282,0 days 00:00:00.123324,0
0 days 00:00:00.132413,0 days 00:00:00.128245,0
0 days 00:00:00.137116,0 days 00:00:00.133226,0
0 days 00:00:00.141597,0 days 00:00:00.137844,0
0 days 00:00:00.146232,0 days 00:00:00.142389,0
0 days 00:00:00.150888,0 days 00:00:00.147096,0
0 days 00:00:00.155539,0 days 00:00:00.151639,0
0 days 00:00:00.160249,0 days 00:00:00.156343,0
0 days 00:00:00.165201,0 days 00:00:00.161185,0
